2022-07-04 16:13:52.5038 INFO Бадьин Роман добавлен в систему с Id: 1. Его номер телефона 09839187. 
2022-07-04 16:14:05.9192 INFO Иванов Иван добавлен в систему с Id: 2. Его номер телефона 874913874. 
2022-07-04 16:14:09.0627 INFO Клиенту Бадьин Роман открыли Депозитный счёт. Id клиента: 1, Id счёта: 1 
2022-07-04 16:14:22.1511 INFO Клиенту Бадьин Роман открыли Недепозитный счёт. Id клиента: 1, Id счёта: 2 
2022-07-04 16:15:17.1791 INFO Клиенту Бадьин Роман закрыли Недепозитный счёт. Id клиента: 1, Id счёта: 2. 
2022-07-04 16:15:19.3144 INFO Клиенту Бадьин Роман закрыли Депозитный счёт. Id клиента: 1, Id счёта: 1. 
2022-07-04 16:15:23.5170 INFO Клиенту Иванов Иван открыли Недепозитный счёт. Id клиента: 2, Id счёта: 1 
2022-07-04 16:15:27.0236 INFO Клиенту Иванов Иван открыли Депозитный счёт. Id клиента: 2, Id счёта: 2 
2022-07-04 16:15:42.4309 INFO Клиенту Иванов Иван закрыли Депозитный счёт. Id клиента: 2, Id счёта: 2. 
2022-07-04 16:15:47.8758 INFO Клиенту Иванов Иван закрыли Недепозитный счёт. Id клиента: 2, Id счёта: 1. 
2022-07-04 16:18:48.9886 INFO Клиенту Бадьин Роман открыли Депозитный счёт. Id клиента: 1, Id счёта: 1 
2022-07-04 16:18:53.0661 INFO Клиенту Бадьин Роман открыли Недепозитный счёт. Id клиента: 1, Id счёта: 2 
2022-07-04 16:19:03.3479 INFO Клиенту Бадьин Роман пополнили Депозитный счёт на сумму 100. Id клиента: 1, Id счёта: 1 
2022-07-04 16:19:23.1534 INFO Клиенту Бадьин Роман пополнили Недепозитный счёт на сумму 100. Id клиента: 1, Id счёта: 2 
2022-07-04 16:19:29.0638 INFO Клиенту Бадьин Роман пополнили Депозитный счёт на сумму 100. Id клиента: 1, Id счёта: 1 
2022-07-04 16:19:35.5381 INFO Клиенту Бадьин Роман закрыли Депозитный счёт. Id клиента: 1, Id счёта: 1. 
2022-07-04 16:19:42.3046 INFO Клиенту Иванов Иван открыли Недепозитный счёт. Id клиента: 2, Id счёта: 1 
2022-07-04 16:19:48.5188 INFO Клиенту Бадьин Роман открыли Депозитный счёт. Id клиента: 1, Id счёта: 1 
2022-07-04 16:19:58.3391 INFO Клиенту Иванов Иван открыли Депозитный счёт. Id клиента: 2, Id счёта: 2 
